id,name,category,city,phone,status,pitch
32,"Aesthetic Cold-Process Closet","Artisanal Cold-Process Soap Maker","Kolkata","91989759800","IG Bio Linktree Only","Hey Aesthetic Cold-Process Closet! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
33,"Aesthetic Sticker Lab","Indie Sticker & Stationery Studio","Shillong","91989998320","Instagram DM Only","Hey Team Aesthetic Sticker Lab! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
34,"Aesthetic Fitness Co.","Micro Fitness & Pilates IG Coach","Ahmedabad","91981238739","IG Bio Linktree Only","Hi Aesthetic Fitness Co.! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
35,"Aesthetic Pet Creations","Handmade Pet Accessories & Treats","Dehradun","91981477259","WhatsApp Orders Only","Hey Aesthetic Pet Creations! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
36,"Aesthetic Thrift Boutique","Instagram Thrift & Vintage Store","Delhi NCR","91981716678","Instagram DM Only","Hey Team Aesthetic Thrift Boutique! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
37,"Aesthetic Polymer Finds","Handcrafted Polymer Clay Jewelry","Mumbai","91981955198","WhatsApp Orders Only","Hi Aesthetic Polymer Finds! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
38,"Aesthetic Bento Hub","Custom Bento Cake & Dessert Shop","Bengaluru","91982194617","IG Bio Linktree Only","Hey Aesthetic Bento Hub! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
39,"Vintage Soy Studio","Scented Soy Candle & Wax Melt Artisan","Pune","91982433137","Instagram DM Only","Hey Team Vintage Soy Studio! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
40,"Vintage Canvas Crafts","Hand-Painted Canvas Totes & Denim","Jaipur","91982672556","IG Bio Linktree Only","Hi Vintage Canvas Crafts! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
41,"Vintage Art Closet","Resin Art & Flower Keepsake Studio","Hyderabad","91982911975","WhatsApp Orders Only","Hey Vintage Art Closet! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
42,"Vintage Crochet Lab","Handmade Crochet & Knitwear Brand","Chandigarh","91983150495","Instagram DM Only","Hey Team Vintage Crochet Lab! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
43,"Vintage Press-on Co.","Custom Press-on Nail Artist","Kochi","91983389914","WhatsApp Orders Only","Hi Vintage Press-on Co.! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
44,"Vintage Cold-Process Creations","Artisanal Cold-Process Soap Maker","Kolkata","91983628434","IG Bio Linktree Only","Hey Vintage Cold-Process Creations! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
45,"Vintage Sticker Boutique","Indie Sticker & Stationery Studio","Shillong","91983867853","Instagram DM Only","Hey Team Vintage Sticker Boutique! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
46,"Vintage Fitness Finds","Micro Fitness & Pilates IG Coach","Ahmedabad","91984106373","IG Bio Linktree Only","Hi Vintage Fitness Finds! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
47,"Vintage Pet Hub","Handmade Pet Accessories & Treats","Dehradun","91984345792","WhatsApp Orders Only","Hey Vintage Pet Hub! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
48,"Velvet Thrift Studio","Instagram Thrift & Vintage Store","Delhi NCR","91984584312","Instagram DM Only","Hey Team Velvet Thrift Studio! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
49,"Velvet Polymer Crafts","Handcrafted Polymer Clay Jewelry","Mumbai","91984823731","WhatsApp Orders Only","Hi Velvet Polymer Crafts! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
50,"Velvet Bento Closet","Custom Bento Cake & Dessert Shop","Bengaluru","91985062251","IG Bio Linktree Only","Hey Velvet Bento Closet! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
51,"Velvet Soy Lab","Scented Soy Candle & Wax Melt Artisan","Pune","91985301670","Instagram DM Only","Hey Team Velvet Soy Lab! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
52,"Velvet Canvas Co.","Hand-Painted Canvas Totes & Denim","Jaipur","91985540190","IG Bio Linktree Only","Hi Velvet Canvas Co.! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
53,"Velvet Art Creations","Resin Art & Flower Keepsake Studio","Hyderabad","91985779609","WhatsApp Orders Only","Hey Velvet Art Creations! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
54,"Velvet Crochet Boutique","Handmade Crochet & Knitwear Brand","Chandigarh","91986018129","Instagram DM Only","Hey Team Velvet Crochet Boutique! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
55,"Velvet Press-on Finds","Custom Press-on Nail Artist","Kochi","91986257548","WhatsApp Orders Only","Hi Velvet Press-on Finds! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
56,"Velvet Cold-Process Hub","Artisanal Cold-Process Soap Maker","Kolkata","91986496967","IG Bio Linktree Only","Hey Velvet Cold-Process Hub! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
57,"Botanical Sticker Studio","Indie Sticker & Stationery Studio","Shillong","91986735487","Instagram DM Only","Hey Team Botanical Sticker Studio! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
58,"Botanical Fitness Crafts","Micro Fitness & Pilates IG Coach","Ahmedabad","91986974906","IG Bio Linktree Only","Hi Botanical Fitness Crafts! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
59,"Botanical Pet Closet","Handmade Pet Accessories & Treats","Dehradun","91987213426","WhatsApp Orders Only","Hey Botanical Pet Closet! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
60,"Botanical Thrift Lab","Instagram Thrift & Vintage Store","Delhi NCR","91987452845","Instagram DM Only","Hey Team Botanical Thrift Lab! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
61,"Botanical Polymer Co.","Handcrafted Polymer Clay Jewelry","Mumbai","91987691365","WhatsApp Orders Only","Hi Botanical Polymer Co.! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
62,"Botanical Bento Creations","Custom Bento Cake & Dessert Shop","Bengaluru","91987930784","IG Bio Linktree Only","Hey Botanical Bento Creations! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
63,"Botanical Soy Boutique","Scented Soy Candle & Wax Melt Artisan","Pune","91988169304","Instagram DM Only","Hey Team Botanical Soy Boutique! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
64,"Botanical Canvas Finds","Hand-Painted Canvas Totes & Denim","Jaipur","91988408723","IG Bio Linktree Only","Hi Botanical Canvas Finds! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
65,"Botanical Art Hub","Resin Art & Flower Keepsake Studio","Hyderabad","91988647243","WhatsApp Orders Only","Hey Botanical Art Hub! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
66,"Soulful Crochet Studio","Handmade Crochet & Knitwear Brand","Chandigarh","91988886662","Instagram DM Only","Hey Team Soulful Crochet Studio! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
67,"Soulful Press-on Crafts","Custom Press-on Nail Artist","Kochi","91989125182","WhatsApp Orders Only","Hi Soulful Press-on Crafts! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
68,"Soulful Cold-Process Closet","Artisanal Cold-Process Soap Maker","Kolkata","91989364601","IG Bio Linktree Only","Hey Soulful Cold-Process Closet! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
69,"Soulful Sticker Lab","Indie Sticker & Stationery Studio","Shillong","91989603121","Instagram DM Only","Hey Team Soulful Sticker Lab! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
70,"Soulful Fitness Co.","Micro Fitness & Pilates IG Coach","Ahmedabad","91989842540","IG Bio Linktree Only","Hi Soulful Fitness Co.! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
71,"Soulful Pet Creations","Handmade Pet Accessories & Treats","Dehradun","91981082959","WhatsApp Orders Only","Hey Soulful Pet Creations! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
72,"Soulful Thrift Boutique","Instagram Thrift & Vintage Store","Delhi NCR","91981321479","Instagram DM Only","Hey Team Soulful Thrift Boutique! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
73,"Soulful Polymer Finds","Handcrafted Polymer Clay Jewelry","Mumbai","91981560898","WhatsApp Orders Only","Hi Soulful Polymer Finds! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
74,"Soulful Bento Hub","Custom Bento Cake & Dessert Shop","Bengaluru","91981799418","IG Bio Linktree Only","Hey Soulful Bento Hub! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
75,"Urban Soy Studio","Scented Soy Candle & Wax Melt Artisan","Pune","91982038837","Instagram DM Only","Hey Team Urban Soy Studio! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
76,"Urban Canvas Crafts","Hand-Painted Canvas Totes & Denim","Jaipur","91982277357","IG Bio Linktree Only","Hi Urban Canvas Crafts! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
77,"Urban Art Closet","Resin Art & Flower Keepsake Studio","Hyderabad","91982516776","WhatsApp Orders Only","Hey Urban Art Closet! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
78,"Urban Crochet Lab","Handmade Crochet & Knitwear Brand","Chandigarh","91982755296","Instagram DM Only","Hey Team Urban Crochet Lab! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
79,"Urban Press-on Co.","Custom Press-on Nail Artist","Kochi","91982994715","WhatsApp Orders Only","Hi Urban Press-on Co.! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
80,"Urban Cold-Process Creations","Artisanal Cold-Process Soap Maker","Kolkata","91983233235","IG Bio Linktree Only","Hey Urban Cold-Process Creations! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
81,"Urban Sticker Boutique","Indie Sticker & Stationery Studio","Shillong","91983472654","Instagram DM Only","Hey Team Urban Sticker Boutique! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
82,"Urban Fitness Finds","Micro Fitness & Pilates IG Coach","Ahmedabad","91983711174","IG Bio Linktree Only","Hi Urban Fitness Finds! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
83,"Urban Pet Hub","Handmade Pet Accessories & Treats","Dehradun","91983950593","WhatsApp Orders Only","Hey Urban Pet Hub! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
84,"Retro Thrift Studio","Instagram Thrift & Vintage Store","Delhi NCR","91984189113","Instagram DM Only","Hey Team Retro Thrift Studio! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
85,"Retro Polymer Crafts","Handcrafted Polymer Clay Jewelry","Mumbai","91984428532","WhatsApp Orders Only","Hi Retro Polymer Crafts! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
86,"Retro Bento Closet","Custom Bento Cake & Dessert Shop","Bengaluru","91984667951","IG Bio Linktree Only","Hey Retro Bento Closet! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
87,"Retro Soy Lab","Scented Soy Candle & Wax Melt Artisan","Pune","91984906471","Instagram DM Only","Hey Team Retro Soy Lab! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
88,"Retro Canvas Co.","Hand-Painted Canvas Totes & Denim","Jaipur","91985145890","IG Bio Linktree Only","Hi Retro Canvas Co.! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
89,"Retro Art Creations","Resin Art & Flower Keepsake Studio","Hyderabad","91985384410","WhatsApp Orders Only","Hey Retro Art Creations! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
90,"Retro Crochet Boutique","Handmade Crochet & Knitwear Brand","Chandigarh","91985623829","Instagram DM Only","Hey Team Retro Crochet Boutique! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
91,"Retro Press-on Finds","Custom Press-on Nail Artist","Kochi","91985862349","WhatsApp Orders Only","Hi Retro Press-on Finds! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
92,"Retro Cold-Process Hub","Artisanal Cold-Process Soap Maker","Kolkata","91986101768","IG Bio Linktree Only","Hey Retro Cold-Process Hub! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
93,"Golden Sticker Studio","Indie Sticker & Stationery Studio","Shillong","91986340288","Instagram DM Only","Hey Team Golden Sticker Studio! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
94,"Golden Fitness Crafts","Micro Fitness & Pilates IG Coach","Ahmedabad","91986579707","IG Bio Linktree Only","Hi Golden Fitness Crafts! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
95,"Golden Pet Closet","Handmade Pet Accessories & Treats","Dehradun","91986818227","WhatsApp Orders Only","Hey Golden Pet Closet! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
96,"Golden Thrift Lab","Instagram Thrift & Vintage Store","Delhi NCR","91987057646","Instagram DM Only","Hey Team Golden Thrift Lab! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
97,"Golden Polymer Co.","Handcrafted Polymer Clay Jewelry","Mumbai","91987296166","WhatsApp Orders Only","Hi Golden Polymer Co.! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
98,"Golden Bento Creations","Custom Bento Cake & Dessert Shop","Bengaluru","91987535585","IG Bio Linktree Only","Hey Golden Bento Creations! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
99,"Golden Soy Boutique","Scented Soy Candle & Wax Melt Artisan","Pune","91987774105","Instagram DM Only","Hey Team Golden Soy Boutique! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
100,"Golden Canvas Finds","Hand-Painted Canvas Totes & Denim","Jaipur","91988013524","IG Bio Linktree Only","Hi Golden Canvas Finds! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
101,"Golden Art Hub","Resin Art & Flower Keepsake Studio","Hyderabad","91988252943","WhatsApp Orders Only","Hey Golden Art Hub! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
102,"Little Crochet Studio","Handmade Crochet & Knitwear Brand","Chandigarh","91988491463","Instagram DM Only","Hey Team Little Crochet Studio! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
103,"Little Press-on Crafts","Custom Press-on Nail Artist","Kochi","91988730882","WhatsApp Orders Only","Hi Little Press-on Crafts! Convert your Instagram Reel views into instant paid orders without manual DM back-and-forth."
104,"Little Cold-Process Closet","Artisanal Cold-Process Soap Maker","Kolkata","91988969402","IG Bio Linktree Only","Hey Little Cold-Process Closet! Showcase your products with prices on a Neobrutalist 100/100 speed store linked in your IG bio."
105,"Little Sticker Lab","Indie Sticker & Stationery Studio","Shillong","91989208821","Instagram DM Only","Hey Team Little Sticker Lab! Loved your IG page. Stop losing customer orders in flooded DMs — get a 0.3s web store with 3-sec WhatsApp checkout."
